Date,Question,Topic,New/Review,🌟,Need Review,Notes,Column 1
8.31,37. 解数独,Daily,New,,No,回溯。注意回溯的solve函数需要返回是否找到合适解法True/False，一旦子问题有得到True，则立即终止回溯。,
,403. 青蛙过河,"TikTok, Google, Amazon, Meta, Microsoft",New,❤️,No,记忆化搜索,
,122. 买卖股票的最佳时机 II,TikTok,New,,No,,
,140. 单词拆分 II,TikTok,New,,No,Trie+回溯，find函数返回现在字符串的所有valid前缀（即在字典中出现过的词，遍历这些前缀，分别加入path并且回溯搜索剩余字符串,
,69. x 的平方根,TikTok,Review,,No,二分即可,
,772. 基本计算器 III,TikTok,Review,,quick review,"需要回忆如何处理( and )。
以及x=( or )时，也需要将op=x; 另外(的作用是更新num（与digit作用相同），dfs中会把匹配的)也消耗掉。
什么时候入栈？遇到+-/*()，或者parse到最后一个字符时都要操作。
)入栈之后干什么？立即返回sum(stack)",
,666. 路径总和 IV,TikTok,New,🌟🌟🌟🌟🌟,No,"不用转化成树，直接dfs,因为知道parent和child在层中position的关系。
dfs时，值从上往下传递，一直到叶子结点，才计算出从root到叶子结点的这条路径总和，并且把值往上返回
dfs可以理解为，当前root的所有叶子，他们**从叶子到真正root**的路径和",
9.1,1209. 删除字符串中的所有相邻重复项 II,TikTok,Review,,quick review,栈里面同时放字母和它目前出现的次数，每次遇到新的字符，首先**比较它是否与栈顶相同**。如果相同，则栈顶次数+1,
,735. 小行星碰撞,TikTok,Review,,No,while循环每次比较栈顶和新加进来的元素。如果新加进来的元素不能进，则终止while循环,
,22. 括号生成,TikTok,Review,,No,"能选L的条件: L<n; 能选R的条件：R<L.
R和L作为dfs的参数被传递，代表此时path中已经有的L和R个数",
,378. 有序矩阵中第 K 小的元素,"TikTok, Microsoft, Google, Amazon, Meta",Review,🌟🌟🌟🌟🌟,No,"cntLessEqual(x)在矩阵中搜索，返回小于等于x的元素的个数。性质：在矩阵中，任意取一个元素，小于等于它的元素正好在**矩阵的左上方**

因此从左下角开始搜索，若当前元素num小于等于x，则往右移动，同时可知num即其上方所有元素皆小于x，故res+=i+1",
,162. 寻找峰值,"TikTok, Basic",Review,,No,三种情况：当前为peak/右边比自己大/左边比自己大,
