Date,Question,Topic,New/Review,🌟,Need Review,Notes,Column 1
9.5,2749. 得到整数零需要执行的最少操作数,Daily,New,,Yes,"设x = num1 - k * num2，则问题转化为：能否用k个2的幂次（允许重复）表示x？
找x的上下界，并且枚举。可对x = num1 - k * num2画图，k为横轴，x为纵轴。则答案为这条直线在第一象限上的某些点，通过分析x=2^(i1)+...2^(ik)这个等式，找到可能的x值。    
由于2的幂次最小是1，所以x>=k  
那么x最大为多少？x最大时，k最小，即k=x.bit_count()",
,3495. 使数组元素都变为零的最少操作次数,Daily,New,,Yes,"对一个数字除以 4 并向下取整：**二进制右移两位**
对于一个数字，如果它的二进制表示有n位，那么它需要(n+1)//2次操作可以变成0
get(x)计算计算从1到x。所有数的二进制的(位数+1)//2之和",
,740. 删除并获得点数,DP,Review,,Yes,如果选了x，删除并且获得点数，则所有x+1和x-1都一起都被删掉，所以把所有其它的x都删掉并获得点数,
9.8,1317. 将整数转换为两个无零整数的和,Daily,New,,Yes,"从低位到高位，如果x>=2，则一个数被赋上low(x/2),另一个high(x//2)
如果x<=1,则向高位借一位
循环条件为while n>1，因为n>=2时才有必要分，n<=1的话也没办法借位了",
,41. 缺失的第一个正数,Basic,Review,,Yes,"记得在交换前，一定让index=arr[i]-1
还有循环条件是 while 1<=arr[i]<=n and arr[i]!=arr[arr[i]-1] 因为此时的arr[i]一定是可以对应到一个位置的，把它放到需要的位置上
不可以是arr[i]!=i+1, 因为i+1不一定在这个数组中存在，这会陷入无限循环",
,309. 买卖股票的最佳时机含冷冻期,"Basic, Amazon, Meta",New,,Yes,"冷冻期：如果当天卖出了，则第二天不可以买入  
0: 当天卖出，不持有  
1: 持有状态  
2: 不持有，且非当天卖出  ",
,708. 循环有序列表的插入,"Meta, Amazon, TikTok",New,,Yes,"分三种情况：链表长度为0，1，大于等于2

第三种情况，令cur=head.next, pre=head 
- 当找到符合条件的位置break
- 边界情况：insertVal>=最大值，或insertVal<=最小值
- pre=head再次出现（说明链表中所有元素都相同）",
,494. 目标和,Basic,Review,,Yes,"需要转化！设所有正数的和为P，所有负数的绝对值之和为N，P+N=sum(nums), P-N=target
解得P=(target+s)/2，转化为416题！",
,2327. 知道秘密的人数,Daily,New,,Yes,"用known[i]表示恰好在第i天知道秘密的人,并且它在[i, i+forget-1]期间都知道秘密。。那么在未来的第j天，第i天贡献了known[i]知道秘密的人。其中，j属于[i+delay, i+forget-1]",
9.1,2831. 找出最长等值子数组,Amazon,New,,Yes,"先用的是滑动窗口+Heap，但可优化:建立一个map,key为正数，value为一个list，里面记录所有值为key的index.
遍历每一个分组,用滑动窗口。
total_length=index_list[r]-index_list[l]+1#删除前的长度
equal_cnt=r-l+1#相同字符的个数",
,1733. 需要教语言的最少人数,Daily,New,,Yes,贪心思想，找到所有不能和朋友交流的人，然后思考让他们学习哪门语言比较好。肯定是选其中最少人不会的语言好。,
9.12,684. 冗余连接,Basic,Review,,Yes,注意union find的写法。,
,1135. 最低成本连通所有城市,Amazon,Review,,Yes,"Kruskal算法寻找最小生成树。先按权重从小到大给edge排序，接着连接每个edge两端的顶点。每次连接，图中的连通块数量-=1。
等到连通块数量==1时，说明最小生成树已经生成。",
,827. 最大人工岛,"TikTok, Amazon, Google, Meta",Review,,Yes,"需要给每个岛屿编号，编号从2开始。用编号直接修改grid[i][j]的值
有一个字典islands，里面记录每个岛屿的面积大小。key是从2开始的编号(len(islands)+2)
在一开始搜索并求面积的时候，每搜索到一个岛屿，就把它加入islands里面",
,1163. 按字典序排在最后的子串,Amazon,Review,,Yes,,
,673. 最长递增子序列的个数,"TikTok, Amazon, Google, Meta",New,💗,Yes,"cnt[i]为考虑以 nums[i] 结尾的最长上升子序列的个数
dp[i] 为考虑前 i 个元素，以第 i 个数字结尾的最长上升子序列的长度",
,647. 回文子串,"Amazon, Google, Meta, Basic",New,,Yes,不管了我不优化了,
,435. 无重叠区间,"Basic, TikTok, Google, Meta, Amazon",New,❤️,Yes,贪心：每次选择端点最小的区间，这样能获得的取件数量一定是最大的,
,297. 二叉树的序列化与反序列化,"Basic, TikTok, Amazon, Google, Meta",Review,❤️,Yes,"用#代表空，注意用，分割不同的节点，先序遍历。反序列化时，用DFS（），每次pop出一个元素。
用先序遍历就是方便构造树",
9.14,271. 字符串的编码与解码,"Amazon, Google, Meta, Basic",New,❤️,Yes,"用前四位表示这一块的长度,然后加上这一块的实际内容
解码时，用 index追踪解码到哪里了，注意循环条件为while index<len(s)-3:
因为要确保当前循环包含了长度信息。",
,966. 元音拼写检查器,Daily,New,,Yes,"用一个Set和两个哈希表。第一个哈希表的key为word.lower(),value 为word,方便模糊匹配
第二个哈希表的key 为这个单词的所有元音字母变成?, 并且所有字母小写的样子
构造哈希表时，逆序遍历，这样哈希表对应的值就会是wordlist里面出现的最早的匹配词汇",
,235. 二叉搜索树的最近公共祖先,Basic,Review,,Yes,"直接原函数递归. 通过比较root，p, q的值，来确定往哪边子树搜索",
9.15,377. 组合总和 Ⅳ,Basic,Review,,Yes,和爬楼梯一样做法,
,799. 香槟塔,"TikTok, Google, Amazon",New,❤️,Yes,用row=[pour[表示初始情况下，第0排的水杯数。然后遍历每一行，把每一行多余的水放到下一行去（每一次循环，创建下一排的容量数组）。,
,153. 寻找旋转排序数组中的最小值,Basic,Review,,Yes,注意，每次 nums[mid]与nums[n-1]比较！,
,238. 除自身以外数组的乘积,Basic,Review,,Yes,"用三个长度为n的数组，left, right, res",
,83. 删除排序链表中的重复元素,,New,,Yes,while cur.next 只要外层循环即可,
,621. 任务调度器,Google,Review,,Yes,注意每次循环必定有一个任务被执行，所以每层循环结束时，都要time+=1,
,2334. 元素值大于变化阈值的子数组,TikTok,Review,,Yes,,
,2524. 子数组的最大频率分数,Paypal,New,,Yes,"用一个字典存放，每个数字为key, value为一个stack，记录着这个数字的1次幂，2次幂....",
,1944. 队列中可以看到的人数,Google,Review,,Yes,从右往左遍历，保持栈中降序。一旦有人被左边的人挡住，则pop出去。,
9/20,3508. 设计路由器,Daily,New,,Yes,lazy q，用 head 表示从第几个 index 开始，是有效的数据,
9.23,1293. 网格中的最短路径,"Google, Amazon, Meta, TikTok",Review,,Yes,vis[x][y][剩余移除次数],
